,penyakit,gejala
122,Skin Disease Due to Food Allergies in Cats," and Types

 


	Non-seasonal itchiness of any body location 
	Poor response to anti-inflammatory doses of glucocorticoids suggests food hypersensitivity
	Vomiting 
	Diarrhea
	Excessive gut sounds, passing of gas, and frequent bowel movements 
	Malassezia dermatitis (fungal skin infections), pyoderma (bacterial skin infections), and otitis externa (inflammation of the outer ear) 
	Plaque – broad, raised flat areas on the skin
	Pustule – pus-containing raised skin inflammation 
	Erythema – redness of the skin 
	Crust – dried serum or pus on the surface of a ruptured blister or pustule 
	Scale – flakes or plates of dead skin 
	Self-induced baldness due to scratching
	Abrasion/sores on the skin due to scratching
	Leathery, thick, bark-like skin
	Hyperpigmentation – darkening of the skin
	Hives – swollen or inflamed bumps on the skin
	Giant wheals (elongated marks) on the skin
	Pyotraumatic dermatitis – bacterial infection of skin wounds due to scratching excessively                        


 

"
123,Skin Disease (Dermatophilosis) in Cats," and Types

If you see pus filled bumps, abscesses, or crusted scabs, either in the mouth or under the skin, and there is no apparent cause for them, it might be a case of dermatophilosis. This is especially so if your cat has been in an environment with cattle, sheep or horses (or has been around people or animals that have been in such an environment). If you suspect this is the condition, and the bumps resemble those described above, you should consult your veterinarian for advice on treatment.

"
124,"Skin Disease, Autoimmune (Pemphigus) in Cats"," and Types



Foliaceus


	Scales, crust, pustules, shallow ulcers, redness, and itching of the skin
	Footpad overgrowth and cracking
	Occasional vesicles: fluid-filled sacs/cysts in the skin
	The head, ears, and footpads are the most commonly affected; this often becomes generalized over the body
	Gums and lips may be affected
	It is common for the nipples and nail beds to be affected in cats
	Swollen lymph nodes, generalized swelling, depression, fever, and lameness (if footpads are involved); however, patients are often in otherwise good health
	Variable pain and itchy skin
	Secondary bacterial infection is possible because of cracked or ulcerated skin


 Erythematosus 


	Mainly the same as for pemphigus foliaceus
	Lesions are usually confined to the head, face, and footpads
	Loss of color in lips is more common than with other pemphigus forms


 Vulgaris 


	The most serious of the pemphigus types
	More severe than pemphigus foliaceus and erythematosus
	Ulcers, both shallow and deep, blisters, crusted skin
	Affects gums, lips, and skin; may become generalized over the body
	Mouth ulcers are frequent, may result in loss of appetite
	The underarm and groin areas are often involved
	Itchy skin and pain
	Anorexia, depression, fever
	Secondary bacterial infections are common




"
125,Skin Cancer (Mucocutaneous Plasmacytoma) in Cats," and Types
 
In addition to being found on the trunk and legs, mucocutaneous plasmacytomas may develop on the mouth, feet, and ears (lip tumors are particularly small and often overlooked). These tumors are generally solitary, solid nodules, either raised or ulcerated.
 
"
126,Skin Cancer in Cats," of Skin Cancer in Cats
Skin cancer can present in different ways depending on the type of cancer. The following are more common clinical signs of skin cancer in cats:


	
	Lump or bump (raised area) 
	
	
	Ulcerated, bleeding, weeping, or oozing lesion
	
	
	Pigmented or discolored region
	
	
	Scaling patch
	
	
	Scabbing of the ears or nose
	
	
	Red, flat plaque
	
	
	Non-healing wound
	


"
127,Skin Cancer (Hemangiosarcoma) in Cats," and Types
 
These masses are most commonly present on the cat’s hind limbs, prepuce, and ventral abdomen, but may appear at any place on the body. The tumors may also change in size due to bleeding inside the growth. The following are symptoms related to hermangiosarcoma in cats:
 

    Solitary mass or multiple masses on the skin
    Nodules on skin are raised, firm, and dark
    Nodules are usually not ulcerative
    In subcutaneous tissue, masses are firm but soft, and fluctuate underneath
    Bruising appearance may be present on masses

 
"
128,Skin Cancer (Epidermotropic Lymphoma) in Cats," and Types
 

    Itching
    Loss of hair (alopecia)
    Scaly skin
    Redness of skin
    Lightening of skin color or loss of pigment (depigmentation)
    Skin ulcers, nodule or mass formation (lesions may involve lips, eyelids, nasal surface, vulva, oral cavity)

 
"
129,Skin Cancer (Adenocarcinoma) in Cats," and Types
 
Lesions can be present on the body of the cat as a single lesion or in many different areas. Skin cancer can appear as a solid, firm mass, or a raised lesion on the skin.
 
"
130,Skin Bumps (Papulonodular Dermatoses) Cats," and Types



Papules are the result of tissue infiltration by inflammatory cells. While nodules, which are larger than papules, are the result of a massive infiltration of inflammatory or cancerous cells into the layers of the skin.



These papules and/or nodules are essentially raised bumps on the surface of the skin - papules and/or nodules on the skin



"
131,Skin Bumps (Granulomatous Dermatoses) in Cats," and Types


    Nodular 	dermatofibrosis
    Calcinosis 	circumscripta
    Malignant 	histiocytosis


"
132,Skin Blisters (Vesiculopustular Dermatoses) in Cats," and Types



One or more of the following signs may be present:




	Hair loss
	Reddened skin
	Vesicles or blisters: small elevations of the outer layer of the skin filled with clear fluid
	Pustules: small elevations of the outer layer of the skin filled with pus
	Loss of pigment of the skin and/or hair




"
133,Skin and Toe Cancer (Melanocytic) in Cats," and Types
 
Melanocytic tumors may develop anywhere on a cat's body, though it is more common on the head, toes (digits), ear, and nose. Depending on the location of the lesion, they may be pigmented or non-pigmented. Additionally, lymph nodes near the affected area may become enlarged.
 
These masses may develop slowly or rapidly, but in advance stages of the disease, the cat may have trouble breathing or make harsh lung sounds due to the spread of the cancer into the lungs. Furthermore, if the masses have spread to a limb, the cat may appear lame or have difficulty walking.

"
134,Sinus Infections in Cats," of Sinus Infection in Cats
Cats with sinus infections often have eye or nasal discharge or both, which can vary in consistency and color. They may sneeze, have a decreased appetite, and act withdrawn or lethargic.  Other symptoms accompanied with sinus infections can include:


	
	Labored breathing or a change in vocalization (meows may sound different)
	
	
	Nasal congestion
	
	
	Snoring
	
	
	Protrusion of the third eyelid, or cherry eye
	
	
	Conjunctivitis, or “red eye”
	
	
	Fever
	
	
	Changes in behavior
	
	
	Swelling and/or asymmetry to the nose and face
	
	
	Difficulty swallowing or gagging
	
	
	Eye or mouth ulcers
	
	
	Enlarged lymph nodes beneath the jaw
	
	
	Reluctance to pet or touch the face and head
	
	
	Neurologic symptoms, such as seizures and head tilting
	


Causes of Sinus Infection in Cats
Kittens and immunocompromised cats are more at risk, but any age or breed of cat can develop a sinus infection. The causes are numerous, but most cases of sinus infections are considered infectious by nature. "
135,Signs of Stroke in Cats,"


	Altered mental status
	Circling
	Weakness
	Head pressing (possibly as a result of a headache)
	Not using the legs normally (sometimes on one side of the body)
	Unsteadiness when walking
	A head tilt
	Abnormal eye movements
	Unequal pupil sizes
	Muscle spasms, including severe spasms that cause the head, neck, and body to arch backwards
	Seizures
	Coma
	Death


What sometimes will set a stroke apart from other conditions that can cause similar clinical signs is the fact that with a stroke, affected cats develop symptoms very quickly. They can essentially seem perfectly normal one minute and then be in big trouble the next.

In most cases, a cat’s symptoms don’t get significantly worse after the first 24 hours or so, unless a ruptured blood vessel continues to bleed.

"
136,Side Effects of Medications for Anxiety in Cats," and Types

As seen in humans, serotonin syndrome may cause:


	Altered mental state (confusion, depression, or hyperactivity)
	Difficulty walking
	Trembling and seizures
	Vomiting
	Diarrhea
	Rapid breathing (tachypnea)
	Rapid heart rate (tachycardia)
	Increased body temperature (hyperthermia) 


"
137,Shoulder Joint Ligament and Tendon Conditions in Cats," and Types

 


	Symptoms will depend on the severity and long-term nature of the disease
	A decrease in muscle mass is a consistent finding for all conditions
	Bicipital tenosynovitis (an inflammation of the tendon and surrounding sheath of the biceps tendon – at the front of the shoulder blade)
	
		Onset is usually subtle
		Often of several months’ duration
		Trauma to the limb or shoulder may be the inciting cause
		Subtle, intermittent lameness that worsens with exercise
		Short and limited swing-phase of gait owing to pain on extension and flexion of the shoulder
		Pain inconsistently demonstrated on manipulation of shoulder
	
	
	Rupture of the tendon of the biceps brachii muscle (upper limb)
	
		Signs similar to bicipital tenosynovitis
		May have sudden (acute) onset due to a known traumatic event
		Usually subtle, long-term (chronic) lameness that worsens with exercise
		Mineralization of the tendon of the supraspinatus (shoulder joint) muscle — onset is usually subtle
		Long-term (chronic) lameness that worsens with activity
	
	
	Forcible separation (known as an avulsion) or fracture of the tendon of the supraspinatus muscle (tendon that connects the scapula/bone of the shoulder blade with the humerus/bone of the upper limb)
	
		Signs are similar to mineralization of the supraspinatus tendon.
		Deterioration and scarring (known as fibrotic contracture) of the shoulder muscle — usually sudden (acute) onset, occurring during a period of intense outdoor exercise (such as hunting).
		Shoulder lameness and tenderness gradually disappears within two weeks
		Left untreated, condition results in long-term (chronic), persistent lameness
		Decrease in muscle mass of the infraspinatus muscle (muscle atrophy)
		When patient is walking, lower limb swings in an arc away from the body, as the paw is advanced
	
	


 

"
138,Shock in Cats," of Shock in Cats
The majority of cats suffering from shock exhibit the following hallmarks:


	
	Hypothermia (low body temperature, <97 F)
	
	
	Bradycardia (low heart rate, <140 beats per minute)
	
	
	Hypotension (abnormally low blood pressure, <100 mmHg systolic)
	


Because the above signs are challenging to determine without the aid of specialized equipment, cat parents will want to look out for the following symptoms:


	
	Lethargy and/or confusion
	
	
	Cooler than normal limbs or paws
	
	
	Pale or discolored gums
	
	
	Shallow or rapid breathing (>60 breaths per minute)
	
	
	Blood-tinged fluid coming from the nose or mouth
	
	
	Rapid or absent pulses
	
	
	Vomiting and diarrhea
	


"
139,Shock Due to Heart Failure in Cats," and Types


    Pale mucous membranes (from 	decreased blood flow)
    Cool extremities
    Variable heart rate and 	respiratory rate
    Harsh lung sounds and crackles
    Cough
    Weak pulse
    Muscle weakness
    Mental dullness
    Cardiac decompensation may be 	associated with a history of previously compensated heart disease 	and cardiac drug administration
    A suspicion of previously 	undiagnosed cardiac disease may result from a history of coughing, 	exercise intolerance, weakness, or loss of consciousness


"
140,Shock Due to Decrease in Circulation in Dogs,"


    Severe weakness
    Cool feet
    Poor pulse; a pulse that is difficult to read
    Very low blood pressure
    Severe lethargy or inactivity
    Hyperventilation
    Respiratory failure
    Hemorrhage


"
141,Shock Due to Bacterial Infection in Cats," and Types
 
Early shock 

    Rapid heart rate
    Normal or high arterial blood pressure
    Bounding pulses
    Reddened moist tissues of the body
    The pink or red color of the gums is very quick to return when the gums are blanched by finger pressure
    Fever
    Rapid breathing

Late shock

    Rapid heart rate or slow heart rate
    Poor pulse
    Pale gums or moist tissues of the body
    The pink color of the gums is slow to return when the gums are blanched by finger pressure
    Cool extremities (from lack of circulation)
    Low body temperature
    Mental depression or stupor
    Production of only small amounts of urine
    Difficulty breathing; rapid breathing
    Small, pinpoint areas of bleeding in the skin and moist tissues of the body.
    Fluid build-up in the tissues, especially the legs and under the skin (swollen limbs)
    Gastrointestinal bleeding
    Extreme weakness

 
"
142,Severely Abnormal Heart Rhythm in Cats," and Types


    Systemic illnesses associated with cardiac disease
    Previous history of heart beat rhythm problems (cardiac arrhythmia)
    Collapse
    Death


"
143,Septicemia and Bacteremia in Cats," and Types



There are several signs and symptoms of both septicemia (blood infection) and bacteremia in cats. Remember that septicemia and bacteremia are not the same thing, although they are similar, and are often used interchangeably.




	Sepsis and bacteremia in cats may develop slowly or suddenly
	Signs and symptoms may vary, or they may involve many different organ systems, including the cardiovascular system
	Symptoms are often confused with the signs and symptoms of many other immune-regulated diseases
	Clinical symptoms are often more severe when the organisms involved are gram-negative organisms. These types of organisms are more likely to cause diseases in a cat
	Cats will usually develop symptoms in the respiratory tract first
	Initial physical signs and symptoms typically include chills, fever, and lethargy
	Depression symptoms are common
	Tachycardia (rapid heart beat) and heart murmur are common




"
144,Separation of the Inner Lining of the Eye in Cats," and Types

Cats experiencing a detached retina may show signs of blindness or reduced vision. In some cases, the cat's iris may stay dilated and will not adjust properly when exposed to light.

"
145,Seasonal Allergies in Cats," of Seasonal Allergies in Cats
Unlike people, cats generally don’t get a watery nose or puffy eyes from seasonal allergies. The most common symptom is itching, which leads to scratching and excessive grooming, and for cats this is usually accompanied by:


	
	Hair loss—often by the neck, base of ears, base of tail, or groin; symmetrical along the back
	
	
	Crusts, scabs, or irritated skin
	
	
	Ear infections—often accompanied by inflamed or thickened ears
	
	
	Eosinophilic plaque—reddish-yellow, ulcerated, itchy, thickened lesion on the groin or thighs
	
	
	Indolent ulcer—inflammatory lesion, often disc-shaped, seen on the lips or skin
	
	
	Eosinophilic granuloma—yellowish-pink, raised, linear lesion seen on the hind limbs
	


"
146,Scabies in Cats," of Scabies in Cats
Symptoms usually begin with crusty and itchy ear edges.

Other symptoms include: 


	
	Intense itching 
	
	
	Skin flaking 
	
	
	Hair loss 
	
	
	Inflammation
	


Feline scabies will generally spread to your cat’s face, and if not treated, their entire body.

 

Diagnosing Scabies in Cats
Scabies are typically diagnosed through skin scrapings that are examined under a microscope. If scabies mites are present, they are easy to see under magnification. However, the absence of mites/eggs on a skin scraping does not rule out an infestation. "
147,Sarcocystis Infection in Cats," in infected cats are rare however.

Sarcocystosis can occur in both dogs and cats. If you would like to learn how this type of infection affects dogs, please visit this page in the petMD health library.

Symptoms and Types

Symptoms in cats are rarely seen but may include:


    Lack of appetite
    Weight loss
    Diarrhea, potentially      bloody diarrhea
    Dehydration
    Depression
    Paralysis


"
148,Roundworms in Cats," of Roundworms in Cats
Although it is usually not life-threatening in adult cats, a roundworm infection can kill kittens and older cats. Kittens often have fewer reserves to compensate for loss from the roundworm; older cats may have other diseases that decrease their body’s ability to compensate for loss.

In kittens, symptoms include:


	
	Poor growth rate
	
	
	Diarrhea
	
	
	Crying and vocalizing
	
	
	Pot-bellied appearance
	


In adult cats, symptoms are less severe, but a large amount of worms may cause an intestinal blockage. Early symptoms include:


	
	Diarrhea
	
	
	Weight loss
	
	
	Dull hair coat
	
	
	Vomiting
	
	
	Coughing
	
	
	Pot-bellied appearance
	


"
149,Ringworm in Cats," of Ringworm in Cats
Symptoms of ringworm in cats include:


	
	Thickened patches of skin
	
	
	Circular areas of hair loss (may be patchy)
	
	
	Broken and stubby hair
	
	
	Scaly or crusty skin
	
	
	Changes in fur or skin color
	
	
	Inflamed areas of skin
	
	
	Excessive grooming and scratching
	
	
	Red or gray, scaly lesions (typically on the skin of a cat’s head, chest, front legs, and spine)
	
	
	Dull fur
	
	
	Dandruff
	
	
	Rough, scaly, hardening of the base of the nails
	
	
	Distortion of the nails
	
	
	Nail infections (rare)
	


In some more severe cases of ringworm in cats, the skin lesions are raised and nodular. These are called granulomas and may frequently produce discharge. 

Many cats, especially longhaired breeds, may have ringworm without any symptoms at all. These cats are called asymptomatic carriers.

Asymptomatic cats may still infect other pets or humans. It’s important to note that even though these cats don’t look sick, they may be highly contagious. 

"
150,Retained Testicle in Cats," and Types
 
This condition is rarely associated with pain or any other sign of disease. However, acute onset of abdominal pain generally indicates that the spermatic cord of the retained testes has become twisted, cutting off the blood supply to the testis. Many times, this testis will develop tumors, which is symptomized by feminine behavior.
 
"
151,Retained Deciduous Teeth in Cats," and Types
 

    Bad breath (halitosis)
    Abnormally-positioned permanent teeth
    Swollen, red, bleeding gums around baby teeth
    Local gingivitis and periodontal disease due to teeth overcrowding
    A permanent abnormal passageway between the mouth and nasal cavity (oronasal fistula)

 
"
152,Retained Afterbirth in Cats," and Types


    Green discharge from      vulva that continues
    Fever (in some cases)
    Systemic disease (in      some cases)


"
153,Reproductive Genetic Abnormalities in Cats," and Types

This condition is usually caused by disorders affecting the chromosomes that determine the traits of an animal's sexual function. Gonadal disorders affect the reproductive organs, and phenotypic disorders affect the physical and biochemical reproductive properties of the animal. The signs and symptoms of gonadal or reproductive sexual development disorders may include having an unusually large clitoris, for the female, or having an undescended testicle, for the male. Other unusual reproductive organ characteristics may also be present.

Signs and symptoms of chromosomal sexual development disorders may include defects in the number of sex chromosomes. In the process of genetically screening your cat, your veterinarian may find an abnormal number of X or Y chromosomes in your cat's genetic make-up.

Signs and symptoms of phenotypic sexual development disorders may include external reproductive organs that do not match the internal chromosomes. A cat that carries male chromosomes for example, may appear to have feminine external genitalia, or a smaller than normal penis. Some animals may possess a normal reproductive organ, but also have an additional, sometimes functional, very small second reproductive organ of the opposite gender.

"
154,Rectal Prolapse in Cats," of Rectal Prolapse in Cats
Cats with rectal prolapse will often act very uncomfortable and may not want to move around much. They may lick at their rectum and continue to posture and strain to poop, pee, or give birth, depending on the cause of the prolapse. 



The color of the exposed rectum is important. A recently prolapsed rectum will be dark pink but will quickly turn dark red as swelling and exposure progress. 



If the rectal prolapse is not treated quickly, the rectum may turn very dark red to black. Darker colors may be a sign of tissue death (e.g., necrosis). This is very serious and may result in long-term complications. The wall of the prolapsed rectum may also break (e.g., ulcerate) and swell.

 

"
155,Rectal and Anal Inflammation in Cats," of Rectal and Anal Inflammation in Cats
Common symptoms of rectal and anal inflammation in cats include:


	
	Diarrhea
	



	
	Frequent small, loose stools
	
	
	Straining to have bowel movements
	
	
	Increased urgency to go to the bathroom
	
	
	Accidents outside the litterbox
	
	
	Mucus or fresh blood on feces
	
	
	Redness or ulceration of the anus and surrounding tissue
	
	
	Prolapse of rectal tissue out the anal opening
	
	
	Licking of the anus
	


"
156,Rat Poisoning in Cats," shown by cats who consume rat poison, and veterinary treatment plans, differ depending on the type of bait ingested.

Types of Rodenticides

Anticoagulant rodenticides function by interfering with vitamin K recycling in the body, which ultimately leads to a bleeding condition called coagulopathy. There are multiple types of compounds in this category, which are further divided into first- and second-generation anticoagulants.

Bromethalin is a neurological toxin that causes brain swelling, loss of normal brain function, and death.

Vitamin D3 (cholecalciferol) causes calcium to be held in the body and leads to high blood calcium and mineralization of tissues in the kidneys, lungs, heart, and blood vessels.

It is often difficult to figure out the amount of rat bait your cat has ingested. Therefore, consider ANY possible contact or ingestion of rodent bait by a cat toxic exposure, and seek veterinary attention immediately.
Health ToolsNot sure whether to see a vet?Answer a few questions about your pet's symptom, and our vet-created Symptom Checker will give you the most likely causes and next steps.
Check your pet’s symptom
Symptoms of Rat Poisoning in Cats
Anticoagulant rodenticide: Clinical signs may not occur until several days or even weeks after ingestion. Signs may include:


	
	Lethargy
	
	
	Pale gums
	
	
	Bruising (on the skin, gums, whites of the eyes)
	
	
	Black stool
	
	
	Vomiting up blood
	
	
	Difficulty breathing
	
	
	Swelling of the joints
	
	
	Blood in the urine
	


Bromethalin: Signs noted with toxicity depend on the amount your cat ingested. If a large amount, symptoms usually begin within a few hours. These may include muscle tremors, hyperthermia (high body temperature), seizures, or death.

If a small amount of bait is eaten, signs may not be noted for 1 to 4 days after ingestion. Usually, your cat will show signs of weakness and incoordination of the limbs, muscle tremors, paralysis, or cranial nerve abnormalities such as unequal pupil sizes or abnormal eye movements.

Vitamin D3: Clinical signs can be seen even at low exposure doses. A cat may become lethargic, start vomiting, drink more water than normal, have a higher volume of urine than normal, and have seizures. Death is possible.

"
157,Rapid Heart Rate in Cats," and Types
 

    Often      no clinical signs because condition is a compensatory response to a      variety of stresses
    If      associated with primary cardiac disease, weakness, exercise intolerance,      or loss of consciousness may be reported
    Pale      mucous membranes if associated with anemia or congestive heart failure
    Fever      may be present
    Signs      of congestive heart failure, such as shortness of breath, cough, and pale      mucous membranes may be present when ST is associated with primary cardiac      disease

 
"
158,Rapid Heart Rate in Cats," of Rapid Heart Rate in Cats
Symptoms of rapid heart rate in cats include:


        
        Heart rate exceeding 180 beats per minute
        
        
        Panting
        
        
        Lethargy and weakness
        
        
        Decreased appetite
        
        
        Loud vocalizations
        


"
159,Raccoon Disease in Cats," and Types

Two types of baylisascariasis have been reported in cats: intestinal infection and visceral disease. The development of the roundworm begins with ingestion of the roundworm eggs. They then migrate to the intestines, where they further develop before their final migration into the viscera (the organs that occupy the abdominal cavities), the nervous system, or the eye. These types of infections are referred to, respectively, as larval migrans; visceral larval migrans (VLM); neural larval migrans (NLM); and ocular larval migrans (OLM).

The intestinal form is most commonly found in adult cats, while infection of internal organs, particularly the brain and spinal cord (visceral disease) is more common in kittens. Often, there are not any outward symptoms associated with early onset of the disease, but occasionally cats will show signs of neurological disease due to the worm attacking the nervous system. Signs of neurological disease (NLM) include:


    Unsteady walking/loss of 	coordination or muscle control (ataxia)
    Difficulty eating/swallowing 	(dysphagia)
    Lethargy, lying down excessively (recumbency)
    Circling
    Seizure
    Confusion, lack of attention


Infection of the viscera (VLM) may present symptoms of liver and/or lung disease, while infection of the eye (OLM) may not be apparent until your cat has lost the use of its vision.

"
160,Rabies in Cats," of Cat Rabies
Early symptoms of rabies may be gradual and hard to spot. During the first 2-4 days of infection, your cat may have a fever, less energy than usual, and decreased appetite. Symptoms tend to progress quickly to weakness or paralysis of the legs, seizures, difficulty breathing, hypersalivation (too much saliva) due to difficulty swallowing, and abnormal behavior. Changes in behavior can range from extreme aggression to extreme depression or coma. 

Classical rabies has two forms, paralytic and furious. Cats may show signs of either or both. If the furious phase develops, cats can become aggressive and occasionally delusional. They may seem to hallucinate and attack their surroundings with no trigger. The paralytic phase may also occur, in which patients start to develop paralysis of various muscular systems, and often lose the ability to swallow. This leads to hypersalivation and foaming at the mouth—which some people consider to be a classical sign of rabies virus infection. 

Eventually, coma and death occur after paralysis or prolonged seizure activity. 

"
161,Q Fever in Cats," and Types

Lungs are thought to be the main portal of entry into systemic circulation. C. burnetii will then replicate in the organ's lining, causing widespread vasculitis. Inflammation of the cat's blood vessels will result in the death of its blood cells and hemorrhaging of the lungs, liver, and central nervous system.

Once the cat has contracted the disease it may display some of the following symptoms:


    Fever
    Lethargy
    Anorexia
    Depression
    Miscarriage
    Incoordination
    Seizures (not common in cats)


The types of symptoms your cat displays and the severity of the Q fever will ultimately depend on the particular strain of organism your cat is infected with. Often, animals with C. burnetii will undergo a period of latency (inactivity). However, during the birthing process the bacterium may reactivate, resulting in large numbers of bacteria entering the placenta, and the host's bodily fluids, urine, feces, and milk.

"
162,Pyruvate Kinase Deficiency in Cats," and Types

 


	Anemia
	Weakness
	Muscle wasting
	Jaundice (rare)
	Pale mucous membranes
	Elevated heart rate (tachycardia)
	Inability to perform routine exercises


 

"
163,Pyometra in Cats," of Pyometra in Cats
The symptoms of pyometra can vary from subtle (almost unnoticeable) to severe lethargy, vomiting and weakness. Symptoms vary greatly because of a female cat’s opening from the vagina to the uterus called the cervix. This part of the body opens, or dilates, during labor and delivery, as well as during heat. It then closes following heat (or after a cat gives birth). If the cervix is still open, when pyometra develops, the pus can drain out of the body. Cats with an open cervix, or “open pyometra,” are much less sick than those with a closed cervix, “closed pyometra.”  

When the cervix is closed, it traps the pus inside the uterus which can result in the pet becoming septic and toxic shock developing quickly.  

Common signs of pyometra include:  


	
	Pus draining from the vulva: This can be difficult to spot because cats are very meticulous about grooming. Watch for any drainage around the base of the tail or on bedding.  
	
	
	Lethargy, depression, or weakness 
	
	
	Anorexia or decreased appetite 
	
	
	Increased thirst 
	



	
	Vomit or diarrhea 
	
	
	Fever 
	


"
164,Pus in the Urine in Cats,"


    Local Effects of 	Inflammation
    Redness of mucosal surfaces (e.g., 	redness of vaginal or prepuce mucous tissue)
    Tissue swelling
    Pustulent discharge
    Pain (e.g., adverse response to 	touch, painful urination, frequency of urination)
    Loss of function (e.g., excessive 	urination, painful urination, frequent urination, urinary 	incontinence)
    Systemic Effects of 	Inflammation
    Fever
    Depression
    Loss of appetite (anorexia)
    Dehydration


"
165,Pus in the Chest Cavity of Cats," and Types

Cats with pyothorax commonly display such symptoms as shock and sudden respiratory distress; they may also collapse.

"
166,Protozoan Infection (Trichomoniasis) in Cats," and Types




	Intermittent diarrhea
	Diarrhea may contain blood and mucus
	Swelling and redness of the anus
	Pain in the anal area
	Protrusion of the rectum through the anus in severe cases




"
167,Prostate Inflammation (Prostatitis) in Cats," of Prostatitis in Cats
Acute Prostatitis:


	
	Straining to urinate or defecate
	
	
	Urinating outside the litter box
	
	
	Lethargy
	
	
	Decreased appetite
	
	
	Fever
	
	
	Painful abdomen when touched or lying down
	
	
	Bloody discharge from the penis
	
	
	Stiff walking pattern
	


Chronic Prostatitis:


	
	Straining to defecate or no stool production
	
	
	Dribbling urine
	
	
	Vocalizing when attempting to urinate
	
	
	Discharge of blood or pus from the penis (even without urine)
	

"
168,Prostate Cancer (Adenocarcinoma) in Cats," and Types

In adenocarcinoma of the prostate, the symptoms may vary depending upon the presence, extent, and location of metastasis to other parts of the body. Following are the symptoms commonly seen in adenocarcinoma of the prostate gland:


    Ribbon-shaped stool
    Poor appetite
    Weight loss
    Difficulty in passing urine
    Complete urine blockage
    Pain, especially when the affected 	area of the prostate is touched
    Fever
    Difficult breathing


"
169,Progressive Retinal Atrophy (PRA) in Cats," develop early, with blindness within a few months of birth. This type has a dominant mode of inheritance.


Symptoms of Progressive Retinal Atrophy (PRA) in Cats
Most cats will begin to experience night blindness initially, because the condition affects the rod photoreceptor cells first. Vision loss will gradually worsen over the months and years. PRA affects both eyes.

Other symptoms you may notice include:


	Disorientation and bumping into objects
	Difficulty finding food and water bowls, or toys
	Reluctance to go up or down stairs, or enter a dark room
	Reclusive at night
	Dilated pupils
	Sluggish pupillary light reflexes, as well as diminished or loss of other eye-related reflexes
	Greater reflectiveness (sheen) of the eye
	Cataracts, which often manifest as white-opaque crystalline deposits in the eyes, occur usually as a secondary complication


"
170,Poxvirus Infection in Cats," and Types

Skin lesions are one of the primary symptoms of poxvirus infection in cats. These lesions may develop immediately, or they may be secondary, developing after one to three weeks. The lesions are generally circular and crusty, and multiple lesions usually develop on the head, neck, or forelimbs. In approximately 20 percent of cases, lesions appear in the mouth (oral lesions).

In some cases, additional systematic symptoms may appear, including anorexia, sluggishness, vomiting, diarrhea, pneumonia, and discharge from the eyes (conjunctivitis).

"
171,Pouch-like sacs on the Esophageal Wall in Cats," and Types


    Regurgitation following eating, difficult swallowing, lack of appetite, coughing
    Weight loss, respiratory distress (aspiration pneumonia)

 
"
172,Postpartum Low Blood Calcium in Cats," and Types


    Poor 	maternal behavior
    Restlessness, 	nervousness
    Disorientation
    Panting, 	whining
    Vomiting
    Diarrhea
    Clumsy 	walking, stiff gait
    Facial 	itchiness
    Muscle 	tremors, tetany (entire body goes stiff), convulsions
    Cat 	lies down with paws rigidly extended (usually seen 8–12 hours 	after the first onset of symptoms)
    High 	body temperature, fever over 105 degrees Fahrenheit
    Rapid, 	heavy breathing
    Dilated 	pupils which are slow to contract when exposed to light


"
173,Posterior Displacement of the Bladder in Cats," and Types
 
Some cats may not exhibit any symptoms, while in others the following may be seen:
 

    Involuntary passing of urine (urinary incontinence)
    Inability to urinate more than a few dribbles at a time
    Urgency to urinate without ability to pass urine
    Urine scalding of tail and adjacent area

 
"
174,Polycythemia in Cats," of Polycythemia in Cats 
Symptoms of polycythemia in cats can include:


	
	Lethargy
	
	
	Weakness
	
	
	Red gums or skin
	
	
	Lack of coordination
	
	
	Excessive thirst and urination
	
	
	Unexplained or excessive bleeding, such as nosebleeds
	
	
	Seizures
	


"
175,Poisoning by Petroleum Products in Cats," and Types


    Pet 	smells like a petroleum product
    Fever
    Vomiting
    Diarrhea
    Dizziness
    Confusion
    Depression
    Difficulty 	breathing (i.e., choking, coughing, gagging)
    Abdominal 	pain
    Blue-purple 	colored skin/gums
    Excessive 	salivation
    Pawing 	at the muzzle
    Champing 	the jaws
    Head-shaking
    Instability/trouble 	walking
    Tremors 	and convulsions (rare)
    Irregular 	heartbeat
    Respiratory 	arrest
    Loss 	of consciousness/comatose
    Loss 	of all body functions


"
176,Poisoning by Hypercalcemic Agents and Their Treatments in Cats," of poisoning may show 18 to 36 hours after the cholecalciferol containing poison was consumed. Left untreated, a cat can die from cholecalciferol poisoning and the resulting hypercalcemia. For the cat that does survive, it will continue to have elevated calcium levels for weeks after the poisoning, and this excess of calcium can lead to secondary health problems, such as renal (kidney) failure.

Symptoms


	Increased thirst
	Frequent urination
	Vomiting
	Generalized weakness
	Muscle spasms
	Seizures
	Fatigue
	Elevated blood serum calcium


"
177,Pneumonia (Interstitial) in Cats," and Types

Symptoms vary depending on the severity of the disease. Some symptoms that may appear in the cat include tachypnea, coughing, dyspnea, mild fever, and discharge from the eyes. Exposure to toxic elements, for example, may also result in gastrointestinal signs, such as vomiting, diarrhea, and a decreased amount of urine production.

"
